R_eIIaZfkISlber7j,Default Response Set,Anonymous,,,100.0.38.99,0,04/06/2017 12:13,04/06/2017 12:16,0,1,1,,,,,,,,,,,,,First,First,,,I think there was less force when it came to making the sound with the one I chose as softer. ,Yes,Yes,52,female,right-handed,English,None,No,No,No,Never,Never,,MF_KheuKhya_KhyaKheu,,,-1
R_UucIU79SKZWvaYp,Default Response Set,Anonymous,,,216.125.160.51,0,04/06/2017 11:59,04/06/2017 12:00,0,1,1,First,Second,,,,,,,,,,,,,,,no idea,Yes,No,30,male,right-handed,English,None,Yes,Yes,Yes,Rarely,Short visit(s),,MF_KheuKhya_KheuKhya,,,-1
R_3fB5o6Loy9f3Sb5,Default Response Set,Anonymous,,,75.120.129.238,0,04/06/2017 10:47,04/06/2017 10:52,0,1,1,,,,,,,,,First,Second,,,,,,,"I think that sharp notes influenced my decision. On the second one for instance sound 1 made me flinch a little, so I picked the second sound as being softer.",Yes,No,52,male,right-handed,English,None,Yes,No,No,Occasionally,Never,,MF_KhyaKheu_KheuKhya,,,-1
R_3kcTiM72FQCJi8h,Default Response Set,Anonymous,,,173.28.59.235,0,04/06/2017 10:47,04/06/2017 10:49,0,1,1,,,,,,,,,,,First,First,,,,,No,Yes,Yes,26,male,ambidextrous,english,None,No,No,Maybe,Occasionally,Never,,FM_KhyaKheu_KheuKhya,,,-1
R_2XmQAcYdxRVlBTQ,Default Response Set,Anonymous,,,73.25.211.6,0,04/06/2017 12:58,04/06/2017 13:00,0,1,1,,,,,Second,Second,,,,,,,,,,,I think it may be the difference in low vs high pitch that made me perceive the sounds as softer or louder.,Yes,No,44,female,right-handed,English,None,Yes,No,No,Rarely,Never,,MF_KhyaKheu_KhyaKheu,,,-1
R_2v7wHgAF2hZRWZy,Default Response Set,Anonymous,,,68.81.42.79,0,04/06/2017 12:41,04/06/2017 12:43,0,1,1,,,,,,,,,,,,,Second,First,,,"I just responded to the sounds. I was listening for a softer, gentler sound.",Yes,No,58,female,right-handed,English,None,No,No,No,Never,Never,,MF_KheuKhya_KhyaKheu,,,-1
R_xlMlvKzH0X7TRHX,Default Response Set,Anonymous,,,24.252.29.188,0,04/06/2017 11:59,04/06/2017 12:01,0,1,1,,,Second,First,,,,,,,,,,,,,Just the way the air escaped from the person.,Yes,No,20,male,left-handed,english,None,Maybe,No,Yes,Occasionally,Never,,FM_KheuKhya_KheuKhya,,,-1
R_OqVgpn3EzhdyleV,Default Response Set,Anonymous,,,68.80.112.89,0,04/06/2017 10:47,04/06/2017 10:49,0,1,1,,,,,,,,,First,Second,,,,,,,"Whichever had the softest ""c"" sound is what I picked",Yes,No,23,female,right-handed,English,None,No,No,Maybe,Rarely,Never,,MF_KhyaKheu_KheuKhya,,,-1
R_2953Yfu4LEo1JPT,Default Response Set,Anonymous,,,71.90.79.21,0,04/06/2017 12:47,04/06/2017 12:48,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_1q1YYDGx3pOoOkH,Default Response Set,Anonymous,,,68.224.251.228,0,04/06/2017 12:51,04/06/2017 12:56,0,1,1,,,,,,,,,Second,Second,,,,,,,The softer sounds did not sound as sharp or abrasive,Yes,No,60,female,right-handed,English,None,No,No,Yes,Never,Never,,MF_KhyaKheu_KheuKhya,,,-1
R_eOQsU1zuJUZQvXr,Default Response Set,Anonymous,,,184.157.84.145,0,04/06/2017 12:58,04/06/2017 13:01,0,1,1,,,,,,,,,First,Second,,,,,,,"It hard to articulate my thoughts about the sounds. I just selected the sound that was less sharp, more breathy.",Yes,No,41,female,ambidextrous,English,None,No,No,No,Occasionally,Never,,MF_KhyaKheu_KheuKhya,,,-1
R_2dFUE2A9KTa2IM9,Default Response Set,Anonymous,,,24.3.255.177,0,04/06/2017 12:57,04/06/2017 12:59,0,1,1,,,,,First,First,,,,,,,,,,,For the first group of sounds the one I didn't select sounded sharper than the one I selected. For the second group of sounds the one I selected was definitely softer than the other.,Yes,Yes,31,male,right-handed,English,None,No,No,No,Occasionally,Never,,MF_KhyaKheu_KhyaKheu,,,-1
R_3r0z10bJIblRoEg,Default Response Set,Anonymous,,,72.48.131.64,0,04/06/2017 12:41,04/06/2017 12:43,0,1,1,,,,,,,,,,,First,Second,,,,,"A softer one was one that sound less harsh. The one without the loud ""ka"" sound.",Yes,Yes,25,female,right-handed,English,None,Yes,Maybe,No,Occasionally,Never,,FM_KhyaKheu_KheuKhya,,,-1
R_2lSp47jkUBa3FIt,Default Response Set,Anonymous,,,75.131.46.150,0,04/06/2017 12:41,04/06/2017 12:45,0,1,1,,,,,,,First,Second,,,,,,,,,I felt the sounds that were considered more 'soft' were the sounds that were not as loud. ,Yes,Yes,30,female,left-handed,English,None,No,No,No,Occasionally,Never,,FM_KhyaKheu_KhyaKheu,,,-1
R_2rkG2941wV3zyOv,Default Response Set,Anonymous,,,66.176.9.184,0,04/06/2017 12:47,04/06/2017 12:50,0,1,1,,,,,,,,,,,First,First,,,,,"I assume ""soft"" is in relation to volume or sound level, but pitch must be factored in as well.",Yes,Yes,25,male,right-handed,English,None,Yes,No,No,Never,Never,,FM_KhyaKheu_KheuKhya,,,-1
R_3I6jYGWK93LnJiH,Default Response Set,Anonymous,,,67.164.179.247,0,04/06/2017 12:57,04/06/2017 12:59,0,1,1,,,,,,,First,Second,,,,,,,,,,,,,,,,,,,,,,,FM_KhyaKheu_KhyaKheu,,,-1
R_3nMesyFnd9t1gdy,Default Response Set,Anonymous,,,98.220.108.112,0,04/06/2017 12:41,04/06/2017 12:44,0,1,1,,,,,,,,,,,,,,,Second,Second,One of each pair sounded quite a bit harsher then the other.  ,Yes,No,50,male,right-handed,English,None,No,No,No,Never,Never,,FM_KheuKhya_KhyaKheu,,,-1
R_2v6vNUwRE6HncSd,Default Response Set,Anonymous,,,73.23.153.157,0,04/06/2017 12:34,04/06/2017 12:37,0,1,1,,,,,,,First,First,,,,,,,,,No I believe the 1st of each were softer and the 2nd of each was louder,Yes,No,51,male,right-handed,english,None,Yes,No,No,Never,Never,,FM_KhyaKheu_KhyaKheu,,,-1
R_3NEcMAsX9W9WVrG,Default Response Set,Anonymous,,,104.162.78.175,0,04/06/2017 12:23,04/06/2017 12:25,0,1,1,,,,,,,,,First,Second,,,,,,,i just thought of which one sounded sounded softer to me personally ,Yes,No,33,male,right-handed,english,None,Yes,No,No,Never,Never,,MF_KhyaKheu_KheuKhya,,,-1
R_22y00w5ggG5utW6,Default Response Set,Anonymous,,,98.236.190.74,0,04/06/2017 12:15,04/06/2017 12:17,0,1,1,,,,,,,,,,,,,,,First,Second,I felt as though the sounds that were deeper (more bass) and less high pitched were softer,Yes,No,22,female,right-handed,English,None,Yes,No,No,Never,Never,,FM_KheuKhya_KhyaKheu,,,-1
R_1djg9QlNP2kk6Kc,Default Response Set,Anonymous,,,98.238.20.80,0,04/06/2017 11:06,04/06/2017 11:07,0,1,1,,,,,,,,,,,,,,,Second,First,"The low end, or low frequency is non existent. ",Yes,No,29,male,right-handed,English,None,Yes,Yes,Yes,Rarely,Never,,FM_KheuKhya_KhyaKheu,,,-1
R_1gd2Fw5ZL7eEi5U,Default Response Set,Anonymous,,,107.202.43.166,0,04/06/2017 10:47,04/06/2017 10:48,0,1,1,,,Second,Second,,,,,,,,,,,,,"whatever didn't sound as sharp or popped too much, i found softer",Yes,No,21,male,right-handed,english,None,Yes,Yes,Yes,Never,Short visit(s),,FM_KheuKhya_KheuKhya,,,-1
