ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_8jOfaGmd14fDAw9,male,English,Lived 0-5 years,Rarely,None,No,Yes,Maybe,N/A,KhyaKheu,Female,First,Khya,smooth
R_8vxwyBG5BK8pRjH,male,English,Never,Occasionally,None,No,Yes,Yes,A popping noise made me think the noise was hard. No popping noises made me think the noise was smooth.,KheuKhya,Male,Second,Khya,smooth
R_8vxwyBG5BK8pRjH,male,English,Never,Occasionally,None,No,Yes,Yes,A popping noise made me think the noise was hard. No popping noises made me think the noise was smooth.,KheuKhya,Female,Second,Khya,smooth
R_BVBftmKhgJ0P2ZX,male,English,Never,Never,None,No,No,No,"If the sound was louder, I did not think it was smooth.",KhyaKheu,Female,First,Khya,smooth
R_BVBftmKhgJ0P2ZX,male,English,Never,Never,None,No,No,No,"If the sound was louder, I did not think it was smooth.",KheuKhya,Male,First,Kheu,smooth
R_ePCGo96KEBjDYgF,female,english,Never,Never,None,No,Yes,Maybe,"The sounds seemed to be made by a human being. In both cases, I thought the first option was smoother.  This might be because it lacked the throatiness of the seconds clips.",KheuKhya,Male,First,Kheu,smooth
R_ePCGo96KEBjDYgF,female,english,Never,Never,None,No,Yes,Maybe,"The sounds seemed to be made by a human being. In both cases, I thought the first option was smoother.  This might be because it lacked the throatiness of the seconds clips.",KhyaKheu,Female,First,Khya,smooth
R_etwOtzridaJYs3T,male,English,Never,Never,None,No,No,No,"At first I thought I was hearing a snapping sound, so the ""ckk"" one was smoother than ""kyah"" to me. But then the second time, listening to ""kyah"" first made me think that ""ckk"" wasn't a snapping sound, it was more of a shorter ""kyah""",KheuKhya,Female,First,Kheu,smooth
R_etwOtzridaJYs3T,male,English,Never,Never,None,No,No,No,"At first I thought I was hearing a snapping sound, so the ""ckk"" one was smoother than ""kyah"" to me. But then the second time, listening to ""kyah"" first made me think that ""ckk"" wasn't a snapping sound, it was more of a shorter ""kyah""",KhyaKheu,Male,First,Khya,smooth
R_eXbs9EhN59sYBOx,male,English,Never,Rarely,None,No,Yes,Yes,I just choose what more sounded like the question.,KhyaKheu,Female,Second,Kheu,smooth
R_eXbs9EhN59sYBOx,male,English,Never,Rarely,None,No,Yes,Yes,I just choose what more sounded like the question.,KheuKhya,Male,Second,Khya,smooth
R_ONjZBglWWiCOuIx,female,english,Never,Occasionally,None,No,Maybe,No,the way the sound resonates plays a part,KheuKhya,Female,First,Kheu,smooth
R_ONjZBglWWiCOuIx,female,english,Never,Occasionally,None,No,Maybe,No,the way the sound resonates plays a part,KheuKhya,Male,First,Kheu,smooth
R_pgQIbEWHHhVGdfr,male,english,Never,Rarely,None,Yes,Yes,Yes,Interesting experiment. Very subjective.,KheuKhya,Male,First,Kheu,smooth
R_pgQIbEWHHhVGdfr,male,english,Never,Rarely,None,Yes,Yes,Yes,Interesting experiment. Very subjective.,KheuKhya,Female,Second,Khya,smooth
R_pu8LaMwyf0izUvD,male,English,Never,Never,None,No,Yes,No,"A hard starting sound and rough tone throughout made one sound less smooth. It is difficult to explain the exact reason, but there is just something about each sound that gives it a different feel or mood. ",KhyaKheu,Male,First,Khya,smooth
R_pu8LaMwyf0izUvD,male,English,Never,Never,None,No,Yes,No,"A hard starting sound and rough tone throughout made one sound less smooth. It is difficult to explain the exact reason, but there is just something about each sound that gives it a different feel or mood. ",KheuKhya,Female,Second,Khya,smooth
R_vwtvuvZVBVswv61,,,,,,,,,ASDADA,KhyaKheu,Male,First,Khya,smooth
R_vwtvuvZVBVswv61,,,,,,,,,ASDADA,KhyaKheu,Female,First,Khya,smooth
R_XH6kJ5Zim6veHyF,male,english,Short visit(s),Occasionally,None,Yes,Yes,Maybe,the sounds that were softer,KhyaKheu,Female,First,Khya,smooth
R_XH6kJ5Zim6veHyF,male,english,Short visit(s),Occasionally,None,Yes,Yes,Maybe,the sounds that were softer,KhyaKheu,Male,First,Khya,smooth
R_XQWCFld2tPqO9Ox,female,english,Never,Never,None,No,Yes,No,I listened then just guessed at which one would be smoother,KheuKhya,Female,Second,Khya,smooth
R_XQWCFld2tPqO9Ox,female,english,Never,Never,None,No,Yes,No,I listened then just guessed at which one would be smoother,KhyaKheu,Male,First,Khya,smooth
R_yU7t0yCHizg5Uch,female,English,Never,Never,None,No,Yes,Yes,I don't know,KheuKhya,Female,Second,Khya,smooth
R_yU7t0yCHizg5Uch,female,English,Never,Never,None,No,Yes,Yes,I don't know,KheuKhya,Male,Second,Khya,smooth
